,concepts,type,Definition,process_name,DataProperty,synonyms
23, prototypes,Has_Technics_Tools,prototyping is a method of obtaining early feedback on requirements by providing a model of the expected product  before actually building it examples of prototypes are smallscale products computer generated d and d models  mockups or simulations prototypes allow stakeholders to experiment with a model of the ﬁnal product rather than  being limited to discussing abstract representations of their requirements prototypes support the concept of progressive  elaboration in iterative cycles of mockup creation user experimentation feedback generation and prototype revision  when enough feedback cycles have been performed the requirements obtained from the prototype are sufﬁciently  complete to move to a design or build phase storyboarding is a prototyping technique showing sequence or navigation through a series of images or illustrations  storyboards are used on a variety of projects in a variety of industries such as ﬁlm advertising instructional design  and on agile and other software development projects in software development storyboards use mockups to show  navigation paths through web pages screens or other user interfaces, collect requirements,,prototype 
24, requirements documentation,Has_Outputs,requirements documentation describes how individual requirements meet the business need for the project  requirements may start out at a high level and become progressively more detailed as more information about the  requirements is known before being baselined requirements need to be unambiguous measurable and testable  traceable complete consistent and acceptable to key stakeholders the format of the requirements document may  range from a simple document listing all the requirements categorized by stakeholder and priority to more elaborate  forms containing an executive summary detailed descriptions and attachments     many organizations categorize requirements into different types such as business and technical solutions the  former referring to stakeholder needs and the latter as to how those needs will be implemented requirements can  be grouped into classiﬁcations allowing for further reﬁnement and detail as the requirements are elaborated these  classiﬁcations include  business requirements these describe the higherlevel needs of the organization as a whole such as the  business issues or opportunities and reasons why a project has been undertaken  stakeholder requirements these describe needs of a stakeholder or stakeholder group  solution requirements these describe features functions and characteristics of the product service or  result that will meet the business and stakeholder requirements solution requirements are further grouped into  functional and nonfunctional requirements  functional requirements functional requirements describe the behaviors of the product examples include  actions processes data and interactions that the product should execute  nonfunctional requirements nonfunctional requirements supplement functional requirements and describe  the environmental conditions or qualities required for the product to be effective examples include reliability  security performance safety level of service supportability retentionpurge etc  transition and readiness requirements these describe temporary capabilities such as data conversion and  training requirements needed to transition from the current asis state to the desired future state  project requirements these describe the actions processes or other conditions the project needs to meet  examples include milestone dates contractual obligations constraints etc  quality requirements these capture any condition or criteria needed to validate the successful completion  of a project deliverable or fulﬁllment of other project requirements examples include tests certiﬁcations  validations etc, collect requirements,,requirement corroboration 
25, requirements traceability matrix,Has_Outputs,the requirements traceability matrix is a grid that links product requirements from their origin to the deliverables  that satisfy them the implementation of a requirements traceability matrix helps ensure that each requirement adds  business value by linking it to the business and project objectives it provides a means to track requirements throughout  the project life cycle helping to ensure that requirements approved in the requirements documentation are delivered at  the end of the project finally it provides a structure for managing changes to the product scope   tracing requirements includes but is not limited to  business needs opportunities goals and objectives  project objectives  project scope and wbs deliverables  product design  product development  test strategy and test scenarios and  highlevel requirements to more detailed requirements attributes associated with each requirement can be recorded in the requirements traceability matrix these  attributes help to deﬁne key information about the requirement typical attributes used in the requirements traceability  matrix may include a unique identiﬁer a textual description of the requirement the rationale for inclusion owner  source priority version current status such as active cancelled deferred added approved assigned completed  and status date additional attributes to ensure that the requirement has met stakeholders’ satisfaction may include  stability complexity and acceptance criteria figure  provides an example of a requirements traceability matrix  with its associated attributes figure  example of a requirements traceability matrix requirements traceability matrix requirements description id business needs opportunities goals objectives project objectives associate id wbs deliverables product design product development test cases programs portfolios project name  cost center  project description                       define scope define scope is the process of developing a detailed description of the project and product the key benefit of  this process is that it describes the product service or result boundaries and acceptance criteria, collect requirements,,requirement intercellular_substance 
26, project charter,Has_Inputs,  the project charter provides the highlevel project description product characteristics  and approval requirements, define scope,section 4.1.3.1,undertaking lease 
27, project management plan,Has_Inputs,  a project management plan component includes but is not limited to the scope  management plan as   which documents how the project scope will be deﬁned validated  and controlled, define scope,section 4.2.3.1,undertaking direction program 
28, project documents,Has_Inputs,examples of project documents that can be considered, define scope,section 4.1.3.2,undertaking document 
29, enterprise environmental factors,Has_Inputs,the enterprise environmental factors that can inﬂuence the deﬁne scope process include but are not limited to  organization’s culture  infrastructure  personnel administration and  marketplace conditions, define scope,,endeavor environmental factor 
30, organizational process assets,Has_Inputs,the organizational process assets that can inﬂuence the deﬁne scope process include but are not limited to  policies procedures and templates for a project scope statement  project ﬁles from previous projects and  lessons learned from previous phases or projects, define scope,,organisational procedure asset 
31, expert judgment,Has_Technics_Tools,  expertise should be considered from individuals or groups with knowledge of or  experience with similar projects, define scope,section 4.1.2.1,adept opinion 
32, data analysis,Has_Technics_Tools,an example of a data analysis technique that can be used in this process includes but is not limited to alternatives  analysis alternatives analysis can be used to evaluate ways to meet the requirements and the objectives identiﬁed in  the charter, define scope,,information psychoanalysis 
33, decision making,Has_Technics_Tools,  a decisionmaking technique that can be used in this process includes but is not limited  to multicriteria decision analysis   multicriteria decision analysis is a technique that uses  a decision matrix to provide a systematic analytical approach for establishing criteria such as requirements schedule  budget and resources in order to reﬁne the project and product scope for the project, define scope,section 5.1.2.2,determination devising 
34, interpersonal and team skills,Has_Technics_Tools,  an example of an interpersonal and team skills technique is facilitation facilitation  is used in workshops and working sessions with key stakeholders who have a variety of expectations or ﬁelds of  expertise the goal is to reach a crossfunctional and common understanding of the project deliverables and project  and product boundaries, define scope,section 4.1.2.3,interpersonal squad skill 
35, product analysis,Has_Technics_Tools,product analysis can be used to deﬁne products and services it includes asking questions about a product or service  and forming answers to describe the use characteristics and other relevant aspects of what is going to be delivered each application area has one or more generally accepted methods for translating highlevel product or service  descriptions into meaningful deliverables requirements are captured at a high level and decomposed to the level of  detail needed to design the ﬁnal product examples of product analysis techniques include but are not limited to  product breakdown  requirements analysis  systems analysis  systems engineering  value analysis and  value engineering, define scope,,merchandise psychoanalysis 
36, project scope statement,Has_Outputs,the project scope statement is the description of the project scope major deliverables assumptions and constraints  the project scope statement documents the entire scope including project and product scope it describes the project’s  deliverables in detail it also provides a common understanding of the project scope among project stakeholders it may  contain explicit scope exclusions that can assist in managing stakeholder expectations it enables the project team  to perform more detailed planning guides the project team’s work during execution and provides the baseline for  evaluating whether requests for changes or additional work are contained within or outside the project’s boundaries the degree and level of detail to which the project scope statement deﬁnes the work that will be performed and the  work that is excluded can help determine how well the project management team can control the overall project scope  the detailed project scope statement either directly or by reference to other documents includes the following  product scope description progressively elaborates the characteristics of the product service or result  described in the project charter and requirements documentation  deliverables any unique and verifiable product result or capability to perform a service that is required  to be produced to complete a process phase or project deliverables also include ancillary results such as  project management reports and documentation these deliverables may be described at a summary level  or in great detail  acceptance criteria a set of conditions that is required to be met before deliverables are accepted  project exclusions identiﬁes what is excluded from the project explicitly stating what is out of scope for the  project helps manage stakeholders’ expectations and can reduce scope creep although the project charter and the project scope statement are sometimes perceived as containing a certain  degree of redundancy they are different in the level of detail contained in each the project charter contains high level information while the project scope statement contains a detailed description of the scope components these  components are progressively elaborated throughout the project table  describes some of the key elements for  each document   project charter project purpose  measurable project objectives and related  success criteria highlevel requirements highlevel project description boundaries  and key deliverables overall project risk summary milestone schedule preapproved financial resources key stakeholder list project approval requirements ie what  constitutes success who decides the  project is successful who signs off on the  project project exit criteria ie what are the  conditions to be met in order to close or to  cancel the project or phase assigned project manager responsibility  and authority level name and authority of the sponsor or other  persons authorizing the project charter project  scope statement project scope description progressively elaborated project deliverables acceptance criteria project exclusions table  elements of the project charter and project scope statement, define scope,,undertaking range assertion 
37, project documents updates,Has_Outputs,project documents that may be updated as a result of carrying out this process include but are not limited to  assumption log   the assumption log is updated with additional assumptions or  constraints that were identiﬁed during this process  requirements documentation   requirements documentation may be updated  with additional or changed requirements  requirements traceability matrix   the requirements traceability matrix may be  updated to reﬂect updates in requirement documentation  stakeholder register   where additional information on existing or new  stakeholders is gathered as a result of this process it is recorded in the stakeholder register      create wbs create wbs is the process of subdividing project deliverables and project work into smaller more manageable  components the key beneﬁt of this process is that it provides a framework of what has to be delivered this process is  performed once or at predeﬁned points in the project  the wbs is a hierarchical decomposition of the total scope of work to be carried out by the project team to accomplish  the project objectives and create the required deliverables the wbs organizes and deﬁnes the total scope of the project  and represents the work speciﬁed in the current approved project scope statement the planned work is contained within the lowest level of wbs components which are called work packages a work  package can be used to group the activities where work is scheduled and estimated monitored and controlled in the  context of the wbs work refers to work products or deliverables that are the result of activity and not to the activity itself, define scope,section 4.1.3.2,undertaking document update 
38, project management plan,Has_Inputs,a project management plan component includes but is not limited to the scope management plan described in  section  the scope management plan documents how the wbs will be created from the project scope statement, create wbs,section 5.1.3.1,undertaking direction program 
39, project documents,Has_Inputs,examples of project documents that can be considered, create wbs,section 5.3.3.1,undertaking document 
40, enterprise environmental factors,Has_Inputs,the enterprise environmental factors that can inﬂuence the create wbs process include but are not limited to  industryspeciﬁc wbs standards that are relevant to the nature of the project these industryspeciﬁc standards may  serve as external reference sources for creating the wbs, create wbs,,endeavor environmental factor 
41, organizational process assets,Has_Inputs,the organizational process assets that can inﬂuence the create wbs process include but are not limited to  policies procedures and templates for the wbs  project ﬁles from previous projects and  lessons learned from previous projects, create wbs,,organisational procedure asset 
42, expert judgment,Has_Technics_Tools,  expertise should be considered from individuals or groups with knowledge of or  experience with similar projects, create wbs,section 4.1.2.1,adept opinion 
43, decomposition,Has_Technics_Tools,decomposition is a technique used for dividing and subdividing the project scope and project deliverables into  smaller more manageable parts the work package is the work deﬁned at the lowest level of the wbs for which cost and  duration can be estimated and managed the level of decomposition is often guided by the degree of control needed to  effectively manage the project the level of detail for work packages will vary with the size and complexity of the project  decomposition of the total project work into work packages generally involves the following activities  identifying and analyzing the deliverables and related work  structuring and organizing the wbs  decomposing the upper wbs levels into lowerlevel detailed components  developing and assigning identiﬁcation codes to the wbs components and  verifying that the degree of decomposition of the deliverables is appropriate a portion of a wbs with some branches of the wbs decomposed down through the work package level is shown in  figure  figure  sample wbs decomposed down through work packages  value management system project  needs assessment  standards development  systems engineering   project management the wbs is illustrative only it is not intended to represent the full project scope of any specific project  nor to imply that this is the only way to organize a wbs on this type of project  components identification  gap assessment  alternatives identification  system requirements development  alternatives development  requirements determination  current system audit  components analysis  requirements changes identification  alternatives analysis   a wbs structure may be created through various approaches some of the popular methods include the topdown  approach the use of organizationspeciﬁc guidelines and the use of wbs templates a bottomup approach can be used  to group subcomponents the wbs structure can be represented in a number of forms such as  using phases of the project life cycle as the second level of decomposition with the product and project  deliverables inserted at the third level as shown in figure   using major deliverables as the second level of decomposition as shown in figure  and  incorporating subcomponents that may be developed by organizations outside the project team such as  contracted work the seller then develops the supporting contract wbs as part of the contracted work figure  sample wbs organized by phase planning software product  release  detail  design construct integration  and test project  management product  requirements software software software software meetings user  documentation  user  documentation  user  documentation  user  documentation  administration training program  materials training program  materials training program  materials training program  materials the wbs is illustrative only it is not intended to represent the full project scope of any specific project  nor to imply that this is the only way to organize a wbs on this type of project     system  engineering  management  supporting  pm activities  aircraft  system  project  management equipment  training facilities  training  services  training  training technical  orders  engineering  data  management  data  data air  vehicle organizational  level se  intermediate  level se  depot  level se  support  equipment airframe engine communication  system  navigation  system  fire control  system  base  buildings  maintenance  facility  facilities mockups operational  test developmental  test test test and  evaluation the wbs is illustrative only it is not intended to represent the full project scope of any specific project  nor to imply that this is the only way to organize a wbs on this type of project figure  sample wbs with major deliverables decomposition of the upperlevel wbs components requires subdividing the work for each of the deliverables or  subcomponents into its most fundamental components where the wbs components represent veriﬁable products services  or results if an agile approach is used epics can be decomposed into user stories the wbs may be structured as an  outline an organizational chart or other method that identiﬁes a hierarchical breakdown verifying the correctness of the  decomposition requires determining that the lowerlevel wbs components are those that are necessary and sufﬁcient for  completion of the corresponding higherlevel deliverables different deliverables can have different levels of decomposition  to arrive at a work package the work for some deliverables needs to be decomposed only to the next level while others need  additional levels of decomposition as the work is decomposed to greater levels of detail the ability to plan manage and  control the work is enhanced however excessive decomposition can lead to nonproductive management effort inefﬁcient  use of resources decreased efﬁciency in performing the work and difﬁculty aggregating data over different levels of the wbs decomposition may not be possible for a deliverable or subcomponent that will be accomplished far into the future  the project management team usually waits until the deliverable or subcomponent is agreed on so the details of the  wbs can be developed this technique is sometimes referred to as rolling wave planning   the wbs represents all product and project work including the project management work the total of the work at  the lowest levels should roll up to the higher levels so that nothing is left out and no extra work is performed this is  sometimes called the  percent rule for speciﬁc information regarding the wbs refer to the practice standard for work breakdown structures second  edition  this standard contains industryspeciﬁc examples of wbs templates that can be tailored to speciﬁc projects  in a particular application area, create wbs,,vector_decomposition 
44, scope baseline,Has_Outputs,the scope baseline is the approved version of a scope statement wbs and its associated wbs dictionary which can  be changed only through formal change control procedures and is used as a basis for comparison it is a component of  the project management plan components of the scope baseline include  project scope statement the project scope statement includes the description of the project scope major  deliverables assumptions and constraints section   wbs the wbs is a hierarchical decomposition of the total scope of work to be carried out by the project team  to accomplish the project objectives and create the required deliverables each descending level of the wbs  represents an increasingly detailed deﬁnition of the project work  work package the lowest level of the wbs is a work package with a unique identiﬁer these identiﬁers provide  a structure for hierarchical summation of costs schedule and resource information and form a code of accounts  each work package is part of a control account a control account is a management control point where scope  budget and schedule are integrated and compared to the earned value for performance measurement a control  account has two or more work packages though each work package is associated with a single control account  planning package a control account may include one or more planning packages a planning package is a  work breakdown structure component below the control account and above the work package with known work  content but without detailed schedule activities      wbs dictionary the wbs dictionary is a document that provides detailed deliverable activity and scheduling  information about each component in the wbs the wbs dictionary is a document that supports the wbs most  of the information included in the wbs dictionary is created by other processes and added to this document at a  later stage information in the wbs dictionary may include but is not limited to  code of account identiﬁer  description of work  assumptions and constraints  responsible organization  schedule milestones  associated schedule activities  resources required  cost estimates  quality requirements  acceptance criteria  technical references and  agreement information, create wbs,section 5.3.3.1,range service_line 
45, project documents updates,Has_Outputs,project documents that may be updated as a result of carrying out this process include but are not limited to  assumption log   the assumption log is updated with additional assumptions  or constraints that were identiﬁed during the create wbs process  requirements documentation   requirements documentation may be updated  to include approved changes resulting from the create wbs process    validate scope validate scope is the process of formalizing acceptance of the completed project deliverables the key beneﬁt of this  process is that it brings objectivity to the acceptance process and increases the probability of ﬁnal product service  or result acceptance by validating each deliverable this process is performed periodically throughout the project as  needed, create wbs,section 4.1.3.2,undertaking document update 
46, project management plan,Has_Inputs,  project management plan components include but are not limited to  scope management plan   the scope management plan documents how the  project and product scope will be controlled  requirements management plan   the requirements management plan describes  how the project requirements will be managed  change management plan   the change management plan deﬁnes the process  for managing change on the project  configuration management plan   the conﬁguration management plan deﬁnes  those items that are conﬁgurable those items that require formal change control and the process for controlling  changes to such items  scope baseline   the scope baseline is compared to actual results to determine if  a change corrective action or preventive action is necessary  performance measurement baseline   when using earned value analysis the  performance measurement baseline is compared to actual results to determine if a change corrective action or  preventive action is necessary, control scope,section 4.2.3.1,undertaking direction program 
47, project documents,Has_Inputs,project documents that can be considered, control scope,section 4.4.3.1,undertaking document 
48, work performance data,Has_Inputs,work performance data can include the number of change requests received the number of requests accepted and  the number of deliverables veriﬁed validated and completed, control scope,,process public_presentation information 
49, organizational process assets,Has_Inputs,the organizational process assets that can inﬂuence the control scope process include but are not limited to  existing formal and informal scope controlrelated policies procedures guidelines and  monitoring and reporting methods and templates to be used, control scope,,organisational procedure asset 
50, data analysis,Has_Technics_Tools,data analysis techniques that can be used in the control scope process include but are not limited to  variance analysis   variance analysis is used to compare the baseline to the actual  results and determine if the variance is within the threshold amount or if corrective or preventive action is  appropriate  trend analysis   trend analysis examines project performance over time to  determine if performance is improving or deteriorating important aspects of project scope control include determining the cause and degree of variance relative to the scope  baseline section  and deciding whether corrective or preventive action is required, control scope,section 4.5.2.2,information psychoanalysis 
51, work performance information,Has_Outputs,work performance information produced includes correlated and contextualized information on how the project  and product scope are performing compared to the scope baseline it can include the categories of the changes  received the identiﬁed scope variances and their causes how they impact schedule or cost and the forecast of the  future scope performance, control scope,,process public_presentation info 
52, change requests,Has_Outputs,  analysis of project performance may result in a change request to the scope and  schedule baselines or other components of the project management plan change requests are processed for review  and disposition through the perform integrated change control process section, control scope,section 4.3.3.4,alteration request 
53, project management plan updates,Has_Outputs,any change to the project management plan goes through the organization’s change control process via a change  request components that may require a change request for the project management plan include but are not limited to  scope management plan   the scope management plan may be updated to reﬂect  a change in how the scope is managed  scope baseline   changes to the scope baseline are incorporated in response to  approved changes in scope scope statement the wbs or the wbs dictionary in some cases scope variances can  be so severe that a revised scope baseline is needed to provide a realistic basis for performance measurement  schedule baseline   changes to the schedule baseline are incorporated in response  to approved changes in scope resources or schedule estimates in some cases schedule variances can be so  severe that a revised schedule baseline is needed to provide a realistic basis for performance measurement  cost baseline   changes to the cost baseline are incorporated in response to  approved changes in scope resources or cost estimates in some cases cost variances can be so severe that a  revised cost baseline is needed to provide a realistic basis for performance measurement  performance measurement baseline   changes to the performance measurement  baseline are incorporated in response to approved changes in scope schedule performance or cost estimates  in some cases the performance variances can be so severe that a change request is put forth to revise the  performance measurement baseline to provide a realistic basis for performance measurement, control scope,section 5.1.3.1,undertaking direction program update 
54, project documents updates,Has_Outputs,project documents that may be updated as a result of carrying out this process include but are not limited to  lessons learned register   the lessons learned register can be updated with  techniques that are efﬁcient and effective in controlling scope including causes of variances and corrective  actions chosen  requirements documentation   requirements documentation may be updated  with additional or changed requirements  requirements traceability matrix   the requirements traceability matrix may be  updated to reﬂect updates in requirement documentation, control scope,section 4.4.3.1,undertaking document update 
55, project charter,Has_Inputs,  the project charter deﬁnes the summary milestone schedule that will inﬂuence the  management of the project schedule, plan schedule management,section 4.1.3.1,undertaking lease 
56, project management plan,Has_Inputs,  project management plan components include but are not limited to  scope management plan   the scope management plan describes how the scope  will be deﬁned and developed which will provide information on how the schedule will be developed  development approach   the product development approach will help deﬁne the  scheduling approach estimating techniques scheduling tools and techniques for controlling the schedule, plan schedule management,section 4.3.2.1,undertaking direction program 
57, enterprise environmental factors,Has_Inputs,the enterprise environmental factors that can inﬂuence the plan schedule management process include but are not  limited to  organizational culture and structure  team resource availability and skills and physical resource availability  scheduling software  guidelines and criteria for tailoring the organization’s set of standard processes and procedures to satisfy the  speciﬁc needs of the project and  commercial databases such as standardized estimating data, plan schedule management,,endeavor environmental factor 
58, organizational process assets,Has_Inputs,the organizational process assets that can inﬂuence the plan schedule management process include but are not  limited to  historical information and lessons learned repositories  existing formal and informal schedule development management and controlrelated policies procedures   and guidelines  templates and forms and  monitoring and reporting tools, plan schedule management,,organisational procedure asset 
